,cust_no,age_level,exp_code,source_code,0,1,2,5,9,A,trans_type,c0,c1,c2,c3,c4,c5,c6,current_c,H,O,R,company_type,avg_stock,current_stock,avg_amount,current_amount,label
2693,0x01D2BE313D9DFF0F2A52A338FBB4EEBE03BA07AB7A4D5A299A5F2B67EC561DFA,2,4,2,38,0,0,0,0,2,0,24,0,11,0,0,0,5,6,21,19,0,H,1802.325,1000,56028.485,21270,0
2694,0x727B0BBF1876119EC9D5CB616D59BC40DB183FE52649E865CCE124950B925150,2,0,2,29,0,0,0,0,0,0,19,0,2,0,0,3,5,6,13,1,15,H,480.689655172414,1000,70445.7155172414,107300,0
2695,0x497DEE0F4480F16538AEC0CBC2553D76FC5B9013399B42A9EF0888B6EB2BF091,2,2,2,45,0,0,0,0,0,0,36,3,0,3,0,2,1,1,17,28,0,H,1155.55555555556,2000,88291.1111111111,94400,0
2696,0x7179D5D7ABC1B2E2EE89E61F532C486632DDFE9BBEF6D75F301FFAB91B573EFA,4,4,2,95,0,0,0,0,14,0,85,22,0,0,0,2,0,0,101,8,0,O,2071.55963302752,21000,151449.266055046,186900,0
2697,0x11CCCB18421302D3F6DE7534A47991DBD2ACF6AC2D8EE4275C62C2D5B36A18D3,5,0,2,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,20,2,0,H,1636.59090909091,1000,54411.8636363636,39200,0
2698,0xDDADE882C604E4170041CE04B67ED8636478C922EEED8628FA6E288A053DB8F9,4,0,2,8,0,0,0,0,0,0,6,0,0,2,0,0,0,0,4,4,0,H,757.5,1000,131431,219800,0
2699,0x0C321D306EE3AB4D2B16BBB1832810B6C71D20C7DE58E0753C5B7F93EA9AF23E,3,0,2,16,0,0,0,0,0,0,2,5,6,2,0,1,0,0,14,2,0,H,900,1000,16678.75,14400,0
2700,0x025E9D6D7C9266C50236C549631ED29348442CD500943550E4769E1C9D2C755A,2,1,2,58,0,0,0,0,0,0,26,6,5,0,21,0,0,4,56,2,0,H,1088.79310344828,1000,26116.5689655172,9320,0
2701,0x262864FE79D93CC19682B2F2CF809AA666CE0361D5CECD3B48548BA012D9813C,2,0,2,14,0,0,0,0,0,0,4,2,0,0,7,0,1,0,14,0,0,H,1000,1000,12635.7142857143,15000,0
2702,0x1ECAC60A6E28FD6B4472823BDC18EF16F257CD896CF110C71B0748593FB77CA6,3,1,2,43,0,0,0,0,0,0,1,0,29,0,4,0,9,2,43,0,0,H,4215.90697674419,4000,89919.0837209302,85000,0
2703,0x79C3214EE22B2C73DF194D589E7C4289671ED489EEB6AC7B75624C66CF9B5437,2,2,2,32,0,0,0,0,0,0,15,12,2,0,0,3,0,0,28,4,0,H,1782.8125,1000,50391.25,12300,0
2704,0x385C72949FC8893C73A3CF08809D63EC7596CF8E50E54ADCC9FFCC5C00DCDDC3,4,4,2,25,0,0,0,0,0,0,11,2,4,4,1,1,2,6,23,2,0,H,1069.36,1000,65953.7272,25900,0
2705,0x29898E07DA97A132B781E7DECE01F88777649C56AED9D8E0780E5EA788059175,2,0,2,8,0,0,0,0,0,0,0,0,8,0,0,0,0,2,8,0,0,H,1187.5,1000,14574.375,11000,0
2706,0x427A05B1B2625B1D243C749029ED369C2D55B9C11D265D3BEFA9F02C65F7B491,4,0,2,48,0,0,0,0,38,0,69,13,0,0,4,0,0,0,82,4,0,H,2151.16279069767,1000,89010.2325581395,246200,0
2707,0x1487C7661786D49B371F0685B972FA1A98611257FEAC4B2B0133EA7C7E1112A7,4,2,2,28,0,0,0,0,2,0,15,3,8,4,0,0,0,2,23,7,0,H,1170,2000,128628.785333333,25500,0
2708,0xA9FAB96FBA0AA57990C670C6CC56A3E69794D23B6F78A041FA2CFCB6FD3C03EE,3,0,2,12,0,0,0,0,0,0,8,0,4,0,0,0,0,0,7,5,0,O,2096.66666666667,1000,78171,104300,0
2709,0x6BA12679F895D95F34258A779B14F84AE6EC446D48A66B1A4B63D6D64B022671,4,4,2,54,0,0,0,0,16,0,40,14,3,5,8,0,0,0,53,17,0,H,1921.85714285714,1000,90604.7428571429,144900,0
2710,0xDBEA18FDCCC9A0FE19D154F83007133850DE715F9CCA846DD0F09363FD72EAF4,2,0,2,23,0,0,0,0,0,0,7,2,0,0,0,0,14,6,15,0,8,H,817.391304347826,300,44086.9565217391,32715,0
